Optical Power Monitor
2.2.3110.447
Delimiter Used: ; ";"

Start of Measurement ; 11/10/2020 12:12:36
Sample Interval ; 1 s
; PM100D 190404219
Type; PM100D
Serialnumber; P0022534
Sensor; S130C
SensorSerialnumber; 190404219
Wavelength / Responsivity; 514 nm

;;;PM100D 190404219; 
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);
0; 11/10/2020; 12:12:36;NaN
1; 11/10/2020; 12:12:38;Infinity
2; 11/10/2020; 12:12:39;0.00024868
3; 11/10/2020; 12:12:40;Infinity
4; 11/10/2020; 12:12:41;0.0002579
5; 11/10/2020; 12:12:42;0.00025428
6; 11/10/2020; 12:12:43;0.000248
7; 11/10/2020; 12:12:44;0.00026388
8; 11/10/2020; 12:12:45;0.00025661
9; 11/10/2020; 12:12:46;Infinity
10; 11/10/2020; 12:12:47;0.00025656
11; 11/10/2020; 12:12:48;0.00025664
12; 11/10/2020; 12:12:49;0.00024956
13; 11/10/2020; 12:12:50;0.00025226
14; 11/10/2020; 12:12:51;0.00024633
15; 11/10/2020; 12:12:52;Infinity
16; 11/10/2020; 12:12:53;0.00025402
17; 11/10/2020; 12:12:54;0.00025758
18; 11/10/2020; 12:12:55;0.00026826
19; 11/10/2020; 12:12:56;0.00025443
20; 11/10/2020; 12:12:57;Infinity
21; 11/10/2020; 12:12:58;0.00025303
22; 11/10/2020; 12:12:59;0.00024906
23; 11/10/2020; 12:13:00;0.00024784
24; 11/10/2020; 12:13:01;0.00025585
25; 11/10/2020; 12:13:02;0.00025563
26; 11/10/2020; 12:13:03;0.000246
27; 11/10/2020; 12:13:04;NaN
28; 11/10/2020; 12:13:05;Infinity
29; 11/10/2020; 12:13:06;0.00025531
