"W" "S0" "S1" "S2" "I" "polarisation"
-22 0.902262861552717 -0.28907350335356 0.663594324297561 0.00122845 0.80223164170357
0 1.02158359812946 0.842714333283102 0.119534656137204 0.0011897375 0.833167056777265
10 1.00486910268329 0.938817643557859 -0.277690960597006 0.00124573333333333 0.974281575878279
20 1.01336926277335 0.588591558241423 -0.524155545391639 0.001243775 0.777751174663976
30 1.05056096266988 0.0301255942754306 -0.515898944536385 0.00123350833333333 0.491906511772304
40 0.98123145306216 -0.940098444979404 -0.0551723755013146 0.00128072083333333 0.959728741875265
50 1.0072925866708 -0.596880053063623 0.2659156955994 0.0012570375 0.648704006345626
60 1.0144338824076 0.0314970410318662 0.514883908271358 0.001251668 0.508506668913264
70 0.977991731753629 0.610787111756379 0.566668090363368 0.00127025416666667 0.851920109427956
80 0.964581812875835 0.887562312039736 0.373577840498711 0.00129134166666667 0.998337637500745
90 1.01178948894479 0.87502737374463 0.084527701828413 0.00128296666666667 0.868857201845872
100 1.00887246011942 0.421099372948417 -0.263539586178179 0.00127404583333333 0.492398558748902
110 0.988372516317756 -0.183214648299532 -0.493293282498286 0.00126341666666667 0.532409039571747
225 1.00632996456552 -0.856507879420216 0.000351668980265472 0.00122615416666667 0.851120389707314
265 0.997686114037066 0.840503263559748 0.378440381806998 0.00115908333333333 0.923909408029962
