"sigma" "fairResponse1" "fairResponse2" "fairResponse3" "fairResponse4" "fairResponse5" "fairResponse6" "fairResponse7" "fairResponse8" "fairResponse9" "fairResponse10"
0 0.4185017885 0.41876857 0.419523027 0.4189931825 0.41923772 0.418757502 0.4187009705 0.418559717 0.4190340685 0.417928618
0.216661562316537 0.41848737 0.41881272 0.419484085 0.41899424 0.41918489 0.4188101 0.41873405 0.41849992 0.419015185 0.417967685
0.433323124633075 0.41849282 0.41886027 0.41943534 0.41900447 0.419122755 0.41886685 0.41877427 0.41846099 0.4189749 0.418035355
0.649984686949612 0.41851789 0.418909 0.41937907 0.419023395 0.419054215 0.4189251 0.41881975 0.418444745 0.418915095 0.41812846
0.86664624926615 0.4185614 0.41895663 0.419317905 0.419050125 0.418982475 0.418982125 0.418868355 0.41845195 0.418838575 0.418242645
1.08330781158269 0.41862132 0.41900093 0.419254705 0.41908341 0.418910895 0.41903526 0.41891782 0.41848226 0.41874891 0.418372575
1.29996937389922 0.41869485 0.41903983 0.419192425 0.419121695 0.418842815 0.41908202 0.418965835 0.418534265 0.418650295 0.418512175
1.51663093621576 0.418778545 0.419071515 0.41913398 0.419163195 0.418781425 0.419120215 0.419010145 0.41860553 0.418547345 0.41865491
1.7332924985323 0.4188685 0.4190945 0.4190821 0.419205965 0.41872959 0.419148065 0.41904869 0.41869272 0.41844487 0.418794115
1.94995406084884 0.418960505 0.41910771 0.41903921 0.419248 0.41868974 0.419164265 0.419079655 0.418791765 0.41834766 0.41892327
2.16661562316537 0.419050255 0.419110525 0.419007315 0.419287345 0.41866373 0.41916806 0.4191016 0.418898025 0.41826026 0.41903635
2.38327718548191 0.419133555 0.41910282 0.41898791 0.419322155 0.41865278 0.41915927 0.4191135 0.41900654 0.418186765 0.419128055
2.59993874779845 0.419206515 0.41908495 0.4189819 0.4193508 0.418657405 0.419138305 0.41911479 0.41911223 0.4181306 0.419194105
2.81660031011499 0.419265715 0.419057755 0.41898957 0.419371945 0.418677385 0.419106145 0.41910542 0.41921016 0.4180944 0.41923141
3.03326187243152 0.419308395 0.4190225 0.419010555 0.419384595 0.41871179 0.419064295 0.419085825 0.41929574 0.418079855 0.419238225
3.24992343474806 0.419332555 0.41898084 0.41904388 0.419388165 0.418759005 0.419014715 0.419056915 0.41936498 0.418087645 0.419214225
3.4665849970646 0.419337065 0.41893472 0.41908798 0.41938249 0.418816825 0.41895972 0.41902005 0.419414635 0.418117405 0.41916054
3.68324655938114 0.419321715 0.418886295 0.419140795 0.419367825 0.41888255 0.41890188 0.41897695 0.41944238 0.41816774 0.41907968
3.89990812169767 0.419287225 0.418837835 0.41919986 0.419344865 0.418953105 0.418843905 0.41892963 0.41944693 0.418236305 0.418975425
4.11656968401421 0.4192352 0.4187916 0.41926241 0.41931468 0.419025185 0.4187885 0.4188803 0.41942806 0.41831989 0.41885265
4.33323124633075 0.419168085 0.41874975 0.41932552 0.419278685 0.419095425 0.41873826 0.418831275 0.41938666 0.418414585 0.41871709
4.54989280864729 0.419089005 0.41871425 0.41938624 0.419238555 0.419160545 0.41869553 0.41878484 0.419324665 0.41851596 0.41857509
4.76655437096382 0.41900167 0.418686755 0.41944173 0.419196175 0.41921749 0.41866231 0.41874317 0.41924497 0.41861928 0.41843329
4.98321593328036 0.418910155 0.41866855 0.419489395 0.41915352 0.419263605 0.418640155 0.41870821 0.419151305 0.41871971 0.418298315
5.1998774955969 0.41881874 0.41866049 0.419527005 0.41911259 0.41929673 0.4186301 0.4186816 0.419048045 0.41881256 0.418176485
5.41653905791344 0.418731705 0.41866295 0.419552805 0.419075295 0.419315315 0.41863261 0.418664575 0.41894002 0.41889348 0.41807349
5.63320062022997 0.418653115 0.41867581 0.419565585 0.419043385 0.419318495 0.41864758 0.418657945 0.41883229 0.418958695 0.417994145
5.84986218254651 0.418586645 0.418698475 0.41956475 0.41901834 0.41930612 0.418674295 0.418662005 0.41872988 0.41900515 0.417942165
6.06652374486305 0.418535405 0.418729885 0.41955034 0.419001345 0.41927877 0.41871152 0.418676575 0.418637585 0.41903067 0.417919975
6.28318530717959 0.4185017885 0.41876857 0.419523027 0.4189931825 0.41923772 0.418757502 0.4187009705 0.418559717 0.4190340685 0.417928618
