"W" "diff.S0" "diff.S1" "diff.S2" "diff.polarisation"
0 0.0683391287395534 0.114123416134504 0.215360838253741 0.0222119120172817
10 -0.0038155230407142 -0.0213200836909542 0.239941725220426 0.0233907268479584
22 -0.0769947116684152 -0.249808488945154 -1.00677287904913 0.20202738608181
30 -0.0192102670663832 0.109297931922047 0.450887756235284 0.449705939057108
40 0.0950285960282928 0.215712833039486 0.231679741141551 -0.0429975581035914
45 -0.00853432714968472 -0.0346612798917613 0.0153986393209258 0.0438105173174317
50 -0.0866351989074866 0.0810494596115058 0.0204476709162941 0.0101069704618807
60 0.101959116607644 0.0454468442416716 -0.254937839502818 -0.0840280574100354
68 0.0504850155463568 0.260107822715667 1.10728819365734 0.547061573643773
80 -0.104760886183106 -0.187314122381616 -0.634202306620846 0.553509616209729
90 0.0103623044811358 0.0607071980867222 0.256951649469254 0.0221388134209666
112 0.00380414332026735 0.0706436310220008 0.307278318413318 0.238049666941422
135 -0.0104544845530619 -0.212422695564494 -0.343260079522546 0.127853606922425
158 -0.102399543004608 -0.248710623866022 -0.620425872054469 0.711365215628591
180 0.0165709490374401 0.016905001284358 0.0998900187521787 -0.0137807762233304
225 0.0222335641398392 -0.0315110587841926 -0.0393800234179722 -0.00351831403998581
270 0.040757557962144 0.00744022501757524 -0.279013080412191 0.0540523945530705
315 0.00326456571079548 0.00431399004865829 0.23286752919966 0.106653191030306
