"W" "change.in.polarisation" "change.in.intensity"
-22 -0.519152808217944 0.853548916913501
0 -0.327161582573797 0.840863893375681
10 -0.250972602218636 0.843434957102777
20 -0.406072342258548 0.85809141483683
30 -0.499320653702704 0.8473585274717
40 -0.559269844640519 0.858873301546179
50 -0.352089813149365 0.861211210656259
60 -0.277204472676113 0.860177924956204
70 -0.37576700448528 0.855690133037694
80 -0.52465714892513 0.863262887597879
90 -0.431113197628431 0.853933382895559
100 -0.251047447713109 0.859462341108621
110 -0.232775578470524 0.853447080612002
225 -0.408927493788434 0.856702261936875
265 -0.48231212474506 0.839989686156468
