"W" "S0" "S1" "S2" "I" "polarisation"
-22 1 0.381411876514487 -0.928370285726746 0.00458162083333333 1.00366648193843
0 1 0.945896160317132 0.293589113378882 0.004596825 0.990411083135327
10 1 0.582817923508649 0.766967631529764 0.00456080416666667 0.963284007848833
20 1 -0.0401931363983608 0.933477622880361 0.004563796 0.93434252853646
30 1 -0.634486416647994 0.684213508274088 0.00453732083333333 0.933124395681276
40 1 -0.933099453612797 0.291420680029966 0.004535375 0.977548261254465
50 1 -0.90368633032624 -0.38449801358475 0.0045094 0.982083349858415
60 1 -0.397791794128138 -0.897966858523124 0.004495828 0.982131758208425
70 1 0.370808163965257 -0.913344597697535 0.00451 0.985746949580143
80 1 0.879367626880369 -0.475845222462107 0.00453205416666667 0.999858039396206
90 1 0.977527913793477 0.341543676943202 0.00456777083333333 1.0354771390549
100 1 0.620344765336734 0.724555992746866 0.0045566375 0.953839092565451
110 1 -0.0248044274270217 0.935079836786126 0.0045378375 0.93540876668115
225 1 -0.980898278273186 -0.178973968083471 0.00452580416666667 0.997092329511588
265 1 0.991395458309441 0.0342973014737476 0.004460025 0.991988538061286
