"var" "sd" "mean"
"W" 0 0 0
"S0" 0.00106679555467323 0.0326618363640692 0.983728031489834
"S1" 0.0015247889649145 0.0390485462586573 0.610692772220224
"S2" 0.000329060994996051 0.0181400384507875 -0.0782338607798938
"I" 1.22287420461943e-09 3.49696183081748e-05 0.00391462876666667
"polarisation" 0.000382065261603519 0.0195464897514495 0.625615876566057
