"X" "Y1"
0 81.6023738872403
2 83.5014836795252
4 83.7388724035608
6 84.6884272997033
8 83.2640949554896
10 83.6795252225519
20 83.2640949554896
30 76.5578635014837
40 65.6379821958457
50 52.5222551928783
60 37.5074183976261
70 23.2640949554896
80 12.1661721068249
90 3.82789317507418
92 2.62908011869436
94 2.14836795252226
96 0.992878338278932
98 0.500890207715133
100 0.249258160237389
102 0.0934718100890208
104 0.10646884272997
106 0.271810089020772
108 0.701483679525223
110 1.69139465875371
120 8.36795252225519
130 19.2284866468843
140 32.2848664688427
150 46.1721068249258
160 61.6617210682492
170 73.8278931750742
180 81.3649851632048
188 84.0949554896142
190 84.2729970326409
192 84.3323442136499
194 84.1543026706231
196 83.5014836795252
200 82.1958456973294
210 75.1928783382789
220 64.3916913946587
230 49.8516320474777
240 34.8961424332344
250 22.1958456973294
260 9.54302670623145
270 3.20474777448071
276 0.785756676557864
278 0.420178041543027
280 0.156023738872404
282 0.208308605341246
284 0.252818991097923
290 2.38575667655786
300 9.00296735905045
310 20.2967359050445
320 32.2848664688427
330 46.646884272997
340 61.839762611276
350 72.2848664688427
