"X" "Y1" "Y2" "Y3" "Y4"
0 7.33931240657698 0.000251 96.415552855407 1.646
10 33.2585949177877 0.000251 96.415552855407 1.646
20 70.0298953662182 0.000251 97.0230862697448 1.646
30 94.3946188340807 0.000251 96.7800729040097 1.646
40 98.1315396113602 0.000251 96.415552855407 1.646
50 80.7174887892377 0.000251 96.3547995139733 1.646
60 47.5336322869955 0.000251 95.4434993924666 1.646
70 17.0179372197309 0.000251 95.7472660996355 1.646
80 0.361733931240658 0.000251 95.6865127582017 1.646
90 8.61733931240658 0.000251 96.1117861482382 1.646
100 36.0239162929746 0.000251 97.4483596597813 1.646
110 70.627802690583 0.000251 97.6913730255164 1.646
120 94.3198804185351 0.000251 96.8408262454435 1.646
130 99.1031390134529 0.000251 96.6585662211422 1.646
140 78.1763826606876 0.000251 95.7472660996355 1.646
150 44.0956651718984 0.000251 95.8080194410693 1.646
160 15.3512705530643 0.000251 95.4434993924666 1.646
170 0.287742899850523 0.000251 96.415552855407 1.646
180 9.60388639760837 0.000251 95.8080194410693 1.646
190 36.0986547085202 0.000251 96.1725394896719 1.646
200 70.1046337817638 0.000251 95.9295261239368 1.646
210 95.2167414050822 0.000251 96.2940461725395 1.646
220 97.1599402092676 0.000251 97.0230862697448 1.646
230 77.5784753363229 0.000251 96.9623329283111 1.646
240 44.5440956651719 0.000251 96.7800729040097 1.646
250 14.118086696562 0.000251 96.4763061968408 1.646
260 0.389387144992526 0.000251 95.5650060753342 1.646
270 9.99252615844544 0.000251 95.4434993924666 1.646
280 36.0986547085202 0.000251 96.1725394896719 1.646
290 70.0298953662182 0.000251 95.9295261239368 1.646
300 93.8714499252616 0.000251 96.5978128797084 1.646
310 85.1270553064275 0.000251 96.415552855407 1.646
320 80.6427503736921 0.000251 96.6585662211422 1.646
330 47.9073243647235 0.000251 96.5978128797084 1.646
340 14.6935724962631 0.000251 97.0230862697448 1.646
350 0.618086696562033 0.000251 96.6585662211422 1.646
36 98.8041853512706 0.0002042 96.4525993883792 1.635
38 99.0284005979073 0.0002042 96.4525993883792 1.635
34 96.5620328849028 0.0002042 96.8195718654434 1.635
42 96.4125560538117 0.0002042 96.5137614678899 1.635
82 0.0368460388639761 0.0002042 95.5351681957187 1.635
84 0.547085201793722 0.0002042 95.7798165137615 1.635
86 2.50373692077728 0.0002042 95.4740061162079 1.635
78 1.66517189835575 0.0002042 96.0244648318043 1.635
126 100 0.0002042 96.7584097859327 1.635
128 99.7010463378176 0.0002042 96.4525993883792 1.635
124 99.2526158445441 0.0002042 96.7584097859327 1.635
122 97.5336322869955 0.0002042 96.5137614678899 1.635
172 0.0204783258594918 0.0002042 95.9633027522936 1.635
174 0.748878923766816 0.0002042 95.6574923547401 1.635
176 3.45291479820628 0.0002042 96.1467889908257 1.635
168 1.02167414050822 0.0002042 95.9633027522936 1.635
216 98.8789237668161 0.0002042 96.5749235474006 1.635
218 98.5052316890882 0.0002042 97.308868501529 1.635
214 97.7578475336323 0.0002042 97.6758409785933 1.635
212 96.6367713004484 0.0002042 97.0642201834862 1.635
262 0.0399850523168909 0.0002042 97.0030581039755 1.635
264 0.361733931240658 0.0002042 96.3914373088685 1.635
266 2.10762331838565 0.0002042 96.3914373088685 1.635
258 1.47309417040359 0.0002042 96.2691131498471 1.635
306 99.1031390134529 0.0002042 96.6360856269113 1.635
308 99.1031390134529 0.0002042 96.7584097859327 1.635
304 98.4304932735426 0.0002042 97.1865443425076 1.635
302 96.6367713004484 0.0002042 97.2477064220184 1.635
312 96.3378176382661 0.0002042 96.8807339449541 1.635
352 0.0147309417040359 0.0002042 96.5137614678899 1.635
354 0.579970104633782 0.0002042 96.8807339449541 1.635
356 2.17488789237668 0.0002042 96.2691131498471 1.635
248 2.13004484304933 0.0002042 96.7584097859327 1.635
