"W" "diff.S0" "diff.S1" "diff.S2" "diff.polarisation"
-22 -0.070953790676441 -0.481633607324344 0.0658413392510279 0.156945514518318
0 0.0280673273587475 -0.0504737073231419 0.0330406150429086 -0.0700553919691679
10 -0.00535937300904665 0.242544981794871 0.00709133600893791 0.229637177033763
20 -0.00840858492624608 0.40495072270583 -0.00694780914463133 0.240606788311607
30 0.0296082149324235 0.377887903073668 -0.0517324363200406 -0.0761811550344714
40 -0.026753618472422 -0.299139896524742 0.0922973507579453 0.307234476787444
50 0.0169972367957868 0.0347333738447287 0.00762202397907064 -0.0403695698159455
60 0.0387743054637353 0.281816818258725 -0.0551598500449424 -0.129608554778041
70 0.00648333061212547 0.298533729354148 -0.0626484912234245 0.128791917867143
80 -0.013961942488531 0.147159498865445 -0.0666607542970186 0.118052113641583
90 0.0203327668940009 -0.0191495832373333 -0.0492142245275651 -0.0430570516844471
100 -1.46828238323238e-06 -0.292635016522248 -0.00875343687815949 -0.258782962273068
110 -0.0305713067083274 -0.46785407323989 -0.0347092535287575 0.00270400568800599
225 0.00467542222221518 -0.150648802137249 -0.00176467240025608 0.146424089639734
265 0.0110714802843588 -0.0260923415884652 0.131698263324905 0.0106469791102421
