"X" "Y1"
0 76.9708255741775
10 66.2942271880819
20 51.7690875232775
30 37.5543140906269
40 23.3395406579764
50 11.651148355059
60 3.24022346368715
68 0.291744258224705
70 0.0684667908131595
72 0.0209807572936065
74 0.147672253258845
76 0.562383612662942
80 1.69459962756052
90 8.5350713842334
100 19.8634388578523
110 32.5263811297331
120 47.796399751707
130 62.1353196772191
140 74.0533829919305
150 81.9987585350714
156 84.6058348851645
158 84.6679081315953
160 84.8541278708877
162 84.6679081315953
164 84.5437616387337
170 82.1849782743638
180 74.5499689633768
190 63.5630043451272
200 49.9068901303538
210 34.2644320297952
220 20.3600248292986
230 9.78274363749224
240 2.00496585971446
246 0.533209186840472
248 0.132464307883302
250 0.0387957790192427
252 0.25512104283054
254 0.427063935443824
260 2.92985723153321
270 11.0862818125388
280 21.4773432650528
290 36.3128491620112
300 51.3345747982619
310 64.0595903165736
320 77.2811918063315
330 83.3022967101179
336 85.4748603351955
338 85.9714463066418
340 86.1576660459342
342 86.0955927995034
344 85.6610800744879
350 84.2954686530106
