"W" "S0" "S1" "S2" "I" "polarisation"
0 1 0.988918564286933 -0.0667607041221544 0.005120225 0.991169470073718
10 1 0.709208108625869 0.662398468118892 0.0045353125 0.970436948960074
22 1 -0.0382535909518192 0.959321955250064 0.004366175 0.960084345797553
30 1 -0.47229722607848 0.810490412460071 0.0044873875 0.938061500356518
40 1 -0.882215824098526 0.320929394097032 0.00449224615384615 0.938776030949517
45 1 -0.942140505755466 -0.324171281092306 0.00506224166666667 0.996351219234559
50 1 -0.940891397790861 -0.313713439940157 0.004486764 0.991812857769008
60 1 -0.562218288169483 -0.837354928798096 0.00451921666666667 1.00858945083453
68 1 0.0878503883926633 -0.975578782125863 0.004378076 0.979526237971666
80 1 0.721493283558607 -0.690967190527173 0.0044996875 0.998993601884013
90 1 0.990849661986214 -0.132514970066384 0.005069552 0.99967158104544
112 1 0.0719957269497946 0.962218468306775 0.004421425 0.964908164256923
135 1 -0.987563868034096 0.0880848205644647 0.005095075 0.991484406866966
158 1 0.0383953746556772 -0.943184569385584 0.0043456125 0.943965749761092
180 1 0.995478137335864 0.0434705292206824 0.00505589166666667 0.996426820606715
225 1 -0.987727059120495 -0.0995385492510672 0.0050539 0.99272990591894
270 1 0.921722357627038 0.0428367183851855 0.004992525 0.922717231329055
315 1 -0.973314936391581 0.0367792293447503 0.00504904583333333 0.974009587793745
