"Pi" "fairResponse" "biasResponse"
0 0.4197408215 0.419796506188167
0.0344827586206897 0.419731395 0.418463671666667
0.0689655172413793 0.41972197 0.417130838333333
0.103448275862069 0.419712545 0.415798005
0.137931034482759 0.41970312 0.414465171666667
0.172413793103448 0.419693695 0.413132338333333
0.206896551724138 0.41968427 0.411799506666667
0.241379310344828 0.419674845 0.41046667
0.275862068965517 0.419665415 0.409133831666667
0.310344827586207 0.41965599 0.407801
0.344827586206897 0.419646565 0.406468166666667
0.379310344827586 0.41963714 0.405135335
0.413793103448276 0.419627715 0.403802498333333
0.448275862068966 0.41961829 0.402469665
0.482758620689655 0.419608865 0.401136833333333
0.517241379310345 0.41959944 0.399804001666667
0.551724137931034 0.419590015 0.398471165
0.586206896551724 0.419580585 0.397138326666667
0.620689655172414 0.41957116 0.395805495
0.655172413793103 0.419561735 0.394472661666667
0.689655172413793 0.41955231 0.39313983
0.724137931034483 0.419542885 0.391806993333333
0.758620689655172 0.41953346 0.39047416
0.793103448275862 0.419524035 0.389141328333333
0.827586206896552 0.41951461 0.387808496666667
0.862068965517241 0.419505185 0.38647566
0.896551724137931 0.419495755 0.385142821666667
0.931034482758621 0.41948633 0.38380999
0.96551724137931 0.419476905 0.382477156666667
1 0.41946748 0.381144325
