"W" "change.in.polarisation" "change.in.intensity"
-22 -0.148383624163565 0.270813106183009
0 -0.161927254342901 0.262446919980147
10 -0.0171896193531189 0.275378030437702
20 -0.221534647140839 0.276017098402362
30 -0.508383098359272 0.275090042038202
40 0.0191891171659246 0.283789523055077
50 -0.348282525604719 0.281770107556608
60 -0.504268630946915 0.280608183026586
70 -0.158666217163402 0.286550158332401
80 -0.00526075623832034 0.28865074900437
90 -0.127970588025146 0.287740525911992
100 -0.495718594254523 0.283782667568769
110 -0.429918881681899 0.281322686083332
225 -0.13601672742514 0.275904518137241
265 -0.0697053292914822 0.2647412068575
