"W" "diff.S0" "diff.S1" "diff.S2" "diff.polarisation"
-22 -0.00404097066767584 -0.00297242403575719 0.111633945439272 -0.106714823707455
0 0.00974022490436544 0.0415236582610616 0.0350078232417296 0.0427926712264344
10 -0.00651426939179545 0.0224412701112491 -0.0145033441985804 0.014664306044277
20 -0.0192462115314954 -0.0215854419158357 -0.057374289884868 -0.0527978149727351
30 -0.00614702261003908 0.0303334066805632 0.0664592319887721 0.0622495680040244
40 0.00476226655309164 -0.0303705288925626 -0.0461908095577301 0.0150169898036511
50 0.00484415791608805 0.0262694106450116 -0.0927303756864666 0.0214755304001205
60 -0.00105802180335313 -0.00589188924709083 0.00252975963584223 0.00218378637619576
70 -0.0242003160490982 0.0445751964387345 -0.0210346788118175 0.034427010861167
80 -0.00174329510620863 0.00920190286674283 0.0197648838570857 -0.00554759660269633
90 0.0183260446073941 -0.0493491829940098 -0.0525311328928276 -0.0716600840156945
100 -0.00973238702998336 -0.0175605003100541 0.0402750427823683 0.018042056356999
110 0.000651013013881374 0.0521781213793208 0.0860741880481207 0.105073845680686
225 0.018032718242968 -0.0476415372937156 0.0292231342396165 0.0292356401131852
265 0.0163260689518603 -0.0511514616936568 -0.106603378200517 -0.0429836119172693
