# polaram simulate /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/witec.txt --output /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/result_witec_phenylalanine.txt --log /home/jonas/code/python/PolaRam/log/muellersimulation.log --matrix /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/labratoryMatrixPhenylalanine.txt
# Execution time: 2021-01-02 15:17:33.300066

# State.Header   Initial.State.S0  Initial.State.S1  Initial.State.S2  Initial.State.S3     Final.State.S0  Final.State.S1  Final.State.S2  Final.State.S3
v_48_=_1539.3000/cm  1.0215836  0.84271433 0.11953466 0.               0.01094531  0.0015129  -0.00030708  0.        
v_49_=_1634.6360/cm  1.0215836  0.84271433 0.11953466 0.               0.20631191  0.01915985 -0.00718122  0.        
v_50_=_1656.0523/cm  1.0215836  0.84271433 0.11953466 0.               1.05036588  0.14755907 -0.02912209  0.        
v_51_=_1680.7437/cm  1.0215836  0.84271433 0.11953466 0.               0.05754722  0.00611569 -0.00186904  0.        
v_52_=_1815.5212/cm  1.0215836  0.84271433 0.11953466 0.               0.13381246  0.04154852 -0.00043122  0.        
v_53_=_3040.0581/cm  1.0215836  0.84271433 0.11953466 0.              2.5258182  1.03712079 0.02875457 0.        
v_54_=_3083.8355/cm  1.0215836  0.84271433 0.11953466 0.               1.63272431  0.26684049 -0.04028709  0.        
v_55_=_3103.7065/cm  1.0215836  0.84271433 0.11953466 0.              0.38806558 0.14714994 0.00270967 0.        
v_56_=_3166.6573/cm  1.0215836  0.84271433 0.11953466 0.               1.14613938  0.20598885 -0.02523072  0.        
v_57_=_3176.1083/cm  1.0215836  0.84271433 0.11953466 0.               1.24953726  0.11547136 -0.04339663  0.        
v_58_=_3185.6408/cm  1.0215836  0.84271433 0.11953466 0.               2.6328315   0.42839401 -0.06443846  0.        
v_59_=_3194.1441/cm  1.0215836  0.84271433 0.11953466 0.               0.83496888  0.07716202 -0.02905999  0.        
v_60_=_3205.5084/cm  1.0215836  0.84271433 0.11953466 0.              6.81350631 2.64360935 0.05540834 0.        
v_61_=_3480.0034/cm  1.0215836  0.84271433 0.11953466 0.              2.50640202 1.03585749 0.02952278 0.        
v_62_=_3571.6208/cm  1.0215836  0.84271433 0.11953466 0.               1.1029901   0.12042013 -0.03579019  0.        
v_63_=_3666.4515/cm  1.0215836  0.84271433 0.11953466 0.               2.68724739  0.82083508 -0.01038104  0.        

# State.Header   Initial.State.S0  Initial.State.S1  Initial.State.S2  Initial.State.S3     Final.State.S0  Final.State.S1  Final.State.S2  Final.State.S3
v_1_=_33.9110/cm   1.0048691   0.93881764 -0.27769096  0.               0.05989657  0.00507331 -0.00412868  0.        
v_2_=_42.9975/cm   1.0048691   0.93881764 -0.27769096  0.               0.07445131  0.00648898 -0.00519231  0.        
v_3_=_54.9092/cm   1.0048691   0.93881764 -0.27769096  0.               0.02795078  0.00261244 -0.00202348  0.        
v_4_=_91.9286/cm   1.0048691   0.93881764 -0.27769096  0.               0.04907987  0.00528782 -0.00384377  0.        
v_5_=_179.9603/cm   1.0048691   0.93881764 -0.27769096  0.               0.04769031  0.00460693 -0.0035139   0.        
