"var" "sd" "mean"
"W" 0 0 0
"S0" 0 0 1
"S1" 3.57183698995962e-06 0.00188993041934343 0.988219166462843
"S2" 0.000681049473054674 0.0260969245899718 -0.105739066601391
"I" 2.56024471591663e-10 1.60007647189646e-05 0.00455773226666667
"polarisation" 1.28036942637271e-06 0.00113153410305333 0.994135073278649
