"var" "sd" "mean"
"W" 0 0 0
"S0" 0 0 1
"S1" 4.75965042824761e-05 0.00689902198014154 0.98252640336696
"S2" 0.00168251378493968 0.0410184566377098 0.115666082413274
"I" 1.60616157450313e-10 1.26734429990557e-05 0.00453097814358974
"polarisation" 9.71798116222825e-06 0.00311736766555186 0.990006610978178
