"wavenumber" "waveplate" "signal"
154.799 "0" 0.00225309161844069
154.799 "10" 0.00213815442561118
154.799 "20" 0.00212594553725746
154.799 "30" 0.00229197374968574
154.799 "40" 0.00230671759107271
154.799 "50" 0.00227715126864057
154.799 "60" 0.00219160518442624
154.799 "70" 0.00209047713632364
154.799 "80" 0.00205493910840093
154.799 "90" 0.00207663579040644
159.918 "0" 0.00222684843045795
159.918 "10" 0.00246520862285278
159.918 "20" 0.00275018363855188
159.918 "30" 0.00250641861326964
159.918 "40" 0.00269435812499498
159.918 "50" 0.00283610167696117
159.918 "60" 0.00288134191389485
159.918 "70" 0.00302917708862256
159.918 "80" 0.00294081660539908
159.918 "90" 0.00278527265505289
165.034 "0" 0.000392137612600487
165.034 "10" 0.000581053675325857
165.034 "20" 0.000356468686891621
165.034 "30" 0.000436587626765621
165.034 "40" 0.000286636540096723
165.034 "50" 0.000366194116097048
165.034 "60" 0.000526850348869548
165.034 "70" 0.000568130240911664
165.034 "80" 0.000629656667124435
165.034 "90" 0.000754262585342867
170.148 "0" 0.000417135204077132
170.148 "10" 0.000429719046838901
170.148 "20" 0.000282634195408728
170.148 "30" 0.000326057609669863
170.148 "40" 8.48169480897959e-05
170.148 "50" 0.000179349827829187
170.148 "60" 0.000107211481153518
170.148 "70" -7.27511391622038e-05
170.148 "80" 1.21756568008828e-05
170.148 "90" 0.000231430696440731
175.258 "0" 0.000186324435367524
175.258 "10" 0.000114181863569709
175.258 "20" 0.000266621807844012
175.258 "30" 0.000236431454579415
175.258 "40" 0.000333566883685772
175.258 "50" 0.000222048488563176
175.258 "60" 5.53576381592485e-05
175.258 "70" 0.000251953960167577
175.258 "80" 0.000188576176224893
175.258 "90" 0.000278845129839875
180.365 "0" -8.53410854181538e-05
180.365 "10" -0.000167491519809607
180.365 "20" -0.000154512189934475
180.365 "30" -4.14475054661554e-05
180.365 "40" 4.15876862325426e-05
180.365 "50" 6.10029297349469e-05
180.365 "60" -1.95849011533409e-05
180.365 "70" 4.12572552713406e-05
180.365 "80" 9.77017329413914e-05
180.365 "90" 4.46653847781924e-06
185.47 "0" -0.000504541756168509
185.47 "10" -0.000718566314430426
185.47 "20" -0.000644540051940639
185.47 "30" -0.000743791514035144
185.47 "40" -0.000699866524999558
185.47 "50" -0.000863590000031386
185.47 "60" -0.000507205444939867
185.47 "70" -0.000529469184146564
185.47 "80" -0.000764338633915755
185.47 "90" -0.000921113526931212
190.572 "0" -0.000756584109530196
190.572 "10" -0.000651773703639092
190.572 "20" -0.000813962976802898
190.572 "30" -0.000747390474100586
190.572 "40" -0.000858819392538362
190.572 "50" -0.000988464107781227
190.572 "60" -0.00106315086071263
190.572 "70" -0.00135563876700718
190.572 "80" -0.00112475891200581
190.572 "90" -0.00116453294753806
195.671 "0" 0.0015340352231343
195.671 "10" 0.00146582898062266
195.671 "20" 0.00159682934304638
195.671 "30" 0.00115912641061646
195.671 "40" 0.00130350246431204
195.671 "50" 0.00131061411736521
195.671 "60" 0.00120795370153987
195.671 "70" 0.00119534040260905
195.671 "80" 0.00121138979725506
195.671 "90" 0.00118399373488697
200.767 "0" 0.00558752352994514
200.767 "10" 0.00538103316249647
200.767 "20" 0.0052862939569714
200.767 "30" 0.00530498553444129
200.767 "40" 0.00550372451172367
200.767 "50" 0.00575903609581049
200.767 "60" 0.00583439740189739
200.767 "70" 0.00586865331333728
200.767 "80" 0.0058980219501366
200.767 "90" 0.00556768143349777
205.86 "0" 0.0107965313580559
205.86 "10" 0.0109219891363653
205.86 "20" 0.0111594754211162
205.86 "30" 0.0110950565314052
205.86 "40" 0.0115407545745995
205.86 "50" 0.0120262623767029
205.86 "60" 0.0124562950257209
205.86 "70" 0.0121597194539829
205.86 "80" 0.0121965757122443
205.86 "90" 0.0117952541140745
210.95 "0" 0.0199553752508917
210.95 "10" 0.0202429147796951
210.95 "20" 0.0205940505720664
210.95 "30" 0.0207081098749895
210.95 "40" 0.0204595737392949
210.95 "50" 0.0214440405300678
210.95 "60" 0.0217664241914041
210.95 "70" 0.0216173323736416
210.95 "80" 0.0218821961979339
210.95 "90" 0.021122515807218
216.038 "0" 0.029399459715205
216.038 "10" 0.0294169636296149
216.038 "20" 0.0298422409713421
