"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 741.443 0.00202149332665343 0 45
"Mit Mikroskop" 746.24 0.00202290922357629 0 45
"Mit Mikroskop" 751.033 0.00203466922617406 0 45
"Mit Mikroskop" 755.825 0.00206908661450794 0 45
"Mit Mikroskop" 760.613 0.00207244181121067 0 45
"Mit Mikroskop" 765.399 0.0020141238839648 0 45
"Mit Mikroskop" 770.182 0.00204834854479281 0 45
"Mit Mikroskop" 774.963 0.00209468552126359 0 45
"Mit Mikroskop" 779.741 0.0020876589639614 0 45
"Mit Mikroskop" 784.517 0.00203180428964454 0 45
"Mit Mikroskop" 789.29 0.00205948800197542 0 45
"Mit Mikroskop" 794.06 0.00206880515622116 0 45
"Mit Mikroskop" 798.828 0.00202349806054432 0 45
"Mit Mikroskop" 803.593 0.00196428759228733 0 45
"Mit Mikroskop" 808.356 0.00205826581213994 0 45
"Mit Mikroskop" 813.116 0.00209353192609051 0 45
"Mit Mikroskop" 817.873 0.00216064684351474 0 45
"Mit Mikroskop" 822.628 0.0021595211289828 0 45
"Mit Mikroskop" 827.38 0.00212053466134815 0 45
"Mit Mikroskop" 832.13 0.00211354418738022 0 45
"Mit Mikroskop" 836.877 0.0020649315371401 0 45
"Mit Mikroskop" 841.622 0.00203435722891056 0 45
"Mit Mikroskop" 846.364 0.002047325834887 0 45
"Mit Mikroskop" 851.103 0.00205624817597263 0 45
"Mit Mikroskop" 855.84 0.00203368911334642 0 45
"Mit Mikroskop" 860.575 0.00209356765618299 0 45
"Mit Mikroskop" 865.306 0.00207493950051346 0 45
"Mit Mikroskop" 870.036 0.00207200591161005 0 45
"Mit Mikroskop" 874.762 0.00209244526612062 0 45
"Mit Mikroskop" 879.486 0.00209335714418042 0 45
"Mit Mikroskop" 884.208 0.0021038800802472 0 45
"Mit Mikroskop" 888.927 0.00214527665634213 0 45
"Mit Mikroskop" 893.644 0.00221347051787414 0 45
"Mit Mikroskop" 898.357 0.00223902600361854 0 45
"Mit Mikroskop" 903.069 0.00215315567686385 0 45
"Mit Mikroskop" 907.778 0.00202939877779354 0 45
"Mit Mikroskop" 912.484 0.00201700478504521 0 45
"Mit Mikroskop" 917.188 0.0020465223203006 0 45
"Mit Mikroskop" 921.889 0.0020416715595933 0 45
"Mit Mikroskop" 926.588 0.00206718737796206 0 45
"Mit Mikroskop" 931.284 0.00209636750290445 0 45
"Mit Mikroskop" 935.977 0.0021763755017369 0 45
"Mit Mikroskop" 940.669 0.00225977258159707 0 45
"Mit Mikroskop" 945.357 0.0022300567846888 0 45
"Mit Mikroskop" 950.043 0.00215919674933116 0 45
"Mit Mikroskop" 954.727 0.00213538193813868 0 45
"Mit Mikroskop" 959.408 0.00217883629945102 0 45
"Mit Mikroskop" 964.086 0.00215694989736574 0 45
"Mit Mikroskop" 968.762 0.00215001938787483 0 45
"Mit Mikroskop" 973.436 0.00216905333199995 0 45
"Mit Mikroskop" 978.107 0.00221017449993003 0 45
"Mit Mikroskop" 982.775 0.00216811710706562 0 45
"Mit Mikroskop" 987.441 0.00206550259959044 0 45
"Mit Mikroskop" 992.104 0.00205511989122221 0 45
"Mit Mikroskop" 996.765 0.00209421207181378 0 45
"Mit Mikroskop" 1001.42 0.00218791354228087 0 45
"Mit Mikroskop" 1006.08 0.00223015089063736 0 45
"Mit Mikroskop" 1010.73 0.00218676448235769 0 45
"Mit Mikroskop" 1015.38 0.00212906978501929 0 45
"Mit Mikroskop" 1020.03 0.00213669844943827 0 45
"Mit Mikroskop" 1024.68 0.00212804265765233 0 45
"Mit Mikroskop" 1029.32 0.00205280959795898 0 45
"Mit Mikroskop" 1033.96 0.00211086698558221 0 45
"Mit Mikroskop" 1038.6 0.00214535029571865 0 45
"Mit Mikroskop" 1043.24 0.00216357707090174 0 45
"Mit Mikroskop" 1047.87 0.0021888628435568 0 45
"Mit Mikroskop" 1052.5 0.00218193835348094 0 45
"Mit Mikroskop" 1057.13 0.00217857042557736 0 45
