"W" "S0" "S1" "S2" "I" "polarisation"
-22 0.973216652229158 0.192560103970784 0.597752985046534 NA 0.645286127185252
0 0.993516270770708 0.893188040606244 0.0864940410942949 NA 0.903222448746433
10 1.01022847569234 0.696272661762988 -0.284782296605944 NA 0.744644398844515
20 1.0217778476996 0.183640835535592 -0.517207736247007 NA 0.537144386352369
30 1.02095274773746 -0.347762308798237 -0.464166508216345 NA 0.568087666806775
40 1.00798507153458 -0.640958548454662 -0.14746972625926 NA 0.652494265087821
50 0.990295349875014 -0.631613426908351 0.25829367162033 NA 0.689073576161572
60 0.975659576943862 -0.250319777226859 0.5700437583163 NA 0.638115223691304
70 0.971508401141503 0.312253382402232 0.629316581586792 NA 0.723128191560813
80 0.978543755364366 0.740402813174291 0.440238594795729 NA 0.880285523859161
90 0.991456722050788 0.894176956981963 0.133741926355978 NA 0.911914253530319
100 1.00887392840181 0.713734389470665 -0.254786149300019 NA 0.75118152102197
110 1.01894382302608 0.284639424940358 -0.458584028969529 NA 0.529705033883741
225 1.00165454234331 -0.705859077282967 0.00211634138052155 NA 0.704696300067579
265 0.986614633752707 0.866595605148213 0.246742118482093 NA 0.91326242891972
