"var" "sd" "mean"
"W" 0 0 0
"S0" 0 0 1
"S1" 1.52083070873274e-05 0.00389978295387415 0.993937202764569
"S2" 0.00526269023177879 0.0725444017948924 0.012050243799015
"I" 1.69731052494444e-10 1.30280870619767e-05 0.00454112976666667
"polarisation" 1.00193331758666e-05 0.00316533302763968 0.996127840580527
