"var" "sd" "mean"
"W" 0 0 0
"S0" 0.000204487785574401 0.0142999225723219 0.977566669511711
"S1" 0.000417858573947018 0.0204415893204765 0.687204381974719
"S2" 0.000410645483171375 0.0202643895336468 0.120080864757794
"I" 1.46118284722222e-10 1.20879396392529e-05 0.0012513925
"polarisation" 0.000722502520126382 0.0268794069898572 0.713954679465398
