"wavenumber" "waveplate" "signal"
337.294 "50" 0.00342401909526848
337.294 "60" -0.00126661584433042
337.294 "70" -3.71421138231534e-07
337.294 "80" -0.0020518710961141
337.294 "90" -0.0019673704283154
342.311 "0" -0.00266688384894484
342.311 "10" -0.00175464587654092
342.311 "20" -0.00368767859775744
342.311 "30" -0.00488691592977435
342.311 "40" -0.00253778017312503
342.311 "50" -0.000930947949468481
342.311 "60" 0.00239350590963952
342.311 "70" -0.00105031429494693
342.311 "80" 0.00144417405836951
342.311 "90" 0.00316681518784213
347.326 "0" 0.00422043722383187
347.326 "10" -0.00229067482777399
347.326 "20" 0.00196096749782263
347.326 "30" 0.00377383375431549
347.326 "40" 0.00194825859657127
347.326 "50" 0.00802780352867774
347.326 "60" 0.00433177969408887
347.326 "70" 0.00205026878246974
347.326 "80" 0.00452109016285044
347.326 "90" 0.00726724265896624
352.337 "0" 0.0075757152257112
352.337 "10" 0.00182529535941264
352.337 "20" 0.00131410307840964
352.337 "30" -0.00180970259606832
352.337 "40" 0.00266125696914508
352.337 "50" 0.00375636038414704
352.337 "60" -0.000927013247706931
352.337 "70" 0.00308910397804937
352.337 "80" 0.00279743638117169
352.337 "90" 0.00255484910621206
357.346 "0" 0.00340323320831342
357.346 "10" 0.00329762129853315
357.346 "20" -0.00032296505292302
357.346 "30" 0.00480550839112183
357.346 "40" 0.00154397766809488
357.346 "50" -0.00461866004344357
357.346 "60" 8.31402196740084e-05
357.346 "70" 0.000666812316896519
357.346 "80" -0.000202625935586519
357.346 "90" 3.19336145413323e-07
362.353 "0" 0.00278632611179411
362.353 "10" -0.00157337510595145
362.353 "20" -0.000817001334435197
362.353 "30" -0.00217500046911903
362.353 "40" -0.00160364111388501
362.353 "50" 0.00169635834347141
362.353 "60" -0.000414966712044728
362.353 "70" -0.00289473649798121
362.353 "80" -0.00234709904530628
362.353 "90" -0.00234672031529038
367.356 "0" -0.00266557514544798
367.356 "10" 0.000799725782580045
367.356 "20" 0.000975695143937214
367.356 "30" -0.00150933699954654
367.356 "40" -0.00273868967451219
367.356 "50" -0.000175531687251507
367.356 "60" -0.000848941740157378
367.356 "70" 0.000614245932714868
367.356 "80" 0.00140131132537775
367.356 "90" -0.000164652736066329
372.357 "0" 0.000738447094192118
372.357 "10" 0.000636527801511819
372.357 "20" 0.00826562401702944
372.357 "30" 0.00266368759907734
372.357 "40" 0.0071643698516589
372.357 "50" 0.00518480037714776
372.357 "60" 0.00702508206731853
372.357 "70" 0.0054107049923647
372.357 "80" 0.00152187097572517
372.357 "90" 0.00725326128064352
377.355 "0" -2.17074141188224e-05
377.355 "10" 0.00725735507515231
377.355 "20" 0.007135756287485
377.355 "30" 0.00417723887368279
377.355 "40" 0.0114728049060198
377.355 "50" 0.00707859886849306
377.355 "60" 0.00294437563938595
377.355 "70" 0.00424158760350595
377.355 "80" 0.00800863346872675
377.355 "90" 0.00398742826289864
382.35 "0" 0.00298939692046773
382.35 "10" 0.00752715115451304
382.35 "20" 0.0043350140293482
382.35 "30" 0.00529662628847206
382.35 "40" 0.0111557815750699
382.35 "50" 0.00470415458473965
382.35 "60" 0.00271661812163917
382.35 "70" 0.00689349309277187
382.35 "80" 0.00365114070351891
382.35 "90" 0.0117139829071318
387.342 "0" 0.00470563109586745
387.342 "10" 0.00316197202855199
387.342 "20" 0.00157705989312574
387.342 "30" 0.004815206999515
387.342 "40" 0.00755961727761983
387.342 "50" 0.00198879030428276
387.342 "60" 0.00385309174105407
387.342 "70" 0.00292568937959295
387.342 "80" -0.00100074298038696
387.342 "90" 0.00259459608728408
392.332 "0" 0.00466993468159047
392.332 "10" 0.00177451812945662
392.332 "20" 0.0026174368318685
392.332 "30" 0.000989589557209771
392.332 "40" 0.000591852666195855
392.332 "50" 0.00100389166737894
392.332 "60" 0.00585291028635152
392.332 "70" 0.00570443735377284
392.332 "80" 0.00524715379307082
392.332 "90" 0.00550890396955863
397.319 "0" -0.000254516726315795
397.319 "10" -0.00383982449114689
397.319 "20" -0.000127883088171607
397.319 "30" 0.00342766579694366
397.319 "40" 0.000808494121052884
397.319 "50" 0.00599799072231959
397.319 "60" -0.00195810212636326
397.319 "70" 0.0021511130144174
397.319 "80" 0.00864537794221127
397.319 "90" 0.0062766049419043
402.303 "0" -0.00427435922763642
402.303 "10" 0.00146732488244289
402.303 "20" -0.00160810096855851
402.303 "30" 0.00336001823857233
402.303 "40" 0.00316470417163351
402.303 "50" -0.000152978337232014
402.303 "60" 0.00299859186810275
402.303 "70" 0.00492223763603356
402.303 "80" 0.000775974250196923
402.303 "90" 0.0102429056108351
407.284 "0" 0.0059205837832238
407.284 "10" 0.00553391506177844
407.284 "20" 0.000982982037290406
407.284 "30" 0.00293285348384325
407.284 "40" 0.00899560842724004
407.284 "50" 0.00922146554794633
407.284 "60" 0.00717498111477233
407.284 "70" 0.0153395945925797
407.284 "80" 0.00991137131661061
407.284 "90" 0.0082849849257467
412.263 "0" 0.00366746671992684
412.263 "10" 0.00964692011885951
412.263 "20" 0.00844353683601352
412.263 "30" 0.00712759314711781
412.263 "40" 0.00975145573617054
412.263 "50" 0.00916463223927039
412.263 "60" 0.0109357393167463
412.263 "70" 0.00937134686158944
412.263 "80" 0.0109980108428436
412.263 "90" 0.00845982808960468
417.239 "0" 0.00802524080159308
417.239 "10" 0.00315218718565998
417.239 "20" 0.00617692760419216
417.239 "30" 0.00374730675140922
417.239 "40" 0.00496857529077463
417.239 "50" 0.00564806460263243
417.239 "60" 0.00616251944040554
417.239 "70" 0.00631908214225203
417.239 "80" -0.000842694702322286
417.239 "90" -0.0002279484018614
422.212 "0" 0.00132166538222649
422.212 "10" 0.00219088150890631
422.212 "20" 0.00224904854640685
422.212 "30" 0.00666790829491191
422.212 "40" 0.00952942613148673
422.212 "50" 0.00343246928609049
422.212 "60" 0.00225040232662836
422.212 "70" 0.00201863226746579
422.212 "80" 0.00425515032718239
422.212 "90" 0.00346441565704275
427.182 "0" 0.00752287094315142
427.182 "10" 0.00936126973040121
427.182 "20" 0.0131298921896541
427.182 "30" 0.0167725699995408
427.182 "40" 0.0175521579730937
427.182 "50" 0.015446313087789
427.182 "60" 0.0137067207307153
427.182 "70" 0.0129209643017461
427.182 "80" 0.0114355173611786
427.182 "90" 0.0125262290944502
432.15 "0" 0.0155021752793507
432.15 "10" 0.0173920734669179
432.15 "20" 0.0236007158593158
432.15 "30" 0.0172385744442638
432.15 "40" 0.018801666146225
432.15 "50" 0.0188865122800854
432.15 "60" 0.0175187295149469
432.15 "70" 0.0145836954076309
432.15 "80" 0.0149985087600605
432.15 "90" 0.013825243656464
437.115 "0" 0.0172482496607966
437.115 "10" 0.0177673632742054
437.115 "20" 0.016363986520539
