"sigma" "fairResponse" "biasResponse"
0 0.4195737675 0.372769209666667
0.216661562316537 0.419526515 0.373820078333333
0.433323124633075 0.419489285 0.37702076
0.649984686949612 0.419463815 0.382221581666667
0.86664624926615 0.419451295 0.389179365
1.08330781158269 0.419452315 0.397568776666667
1.29996937389922 0.419466825 0.406997528333333
1.51663093621576 0.41949415 0.417024748333333
1.7332924985323 0.419533005 0.42718157
1.94995406084884 0.41958158 0.436993078333333
2.16661562316537 0.4196376 0.446000491666667
2.38327718548191 0.419698445 0.453782633333333
2.59993874779845 0.419761275 0.459975628333333
2.81660031011499 0.419823145 0.464289886666667
3.03326187243152 0.419881165 0.466523683333333
3.24992343474806 0.419932625 0.466572571666667
3.4665849970646 0.419975115 0.464434261666667
3.68324655938114 0.420006655 0.460208745
3.89990812169767 0.42002576 0.45409359
4.11656968401421 0.42003154 0.446374745
4.33323124633075 0.42002373 0.437413131666667
4.54989280864729 0.42000269 0.427627781666667
4.76655437096382 0.419969405 0.417476251666667
4.98321593328036 0.419925435 0.407433218333333
5.1998774955969 0.41987283 0.397968275
5.41653905791344 0.41981405 0.389523991666667
5.63320062022997 0.41975185 0.382495221666667
5.84986218254651 0.41968913 0.377210616666667
6.06652374486305 0.41962883 0.37391728
6.28318530717959 0.4195737675 0.372769209666667
