"wavenumber" "waveplate" "signal"
231.283 "0" 0.0415451118546538
231.283 "10" 0.0409034597990135
231.283 "20" 0.0408949081058076
231.283 "30" 0.0397708067595394
231.283 "40" 0.0397248307880512
231.283 "50" 0.039762301707158
231.283 "60" 0.0395453765140659
231.283 "70" 0.0395126891090063
231.283 "80" 0.0392057869781266
231.283 "90" 0.0389907636226679
236.36 "0" 0.0418385659384339
236.36 "10" 0.0414040439101319
236.36 "20" 0.0414365358491158
236.36 "30" 0.0403474388184589
236.36 "40" 0.0404346424795342
236.36 "50" 0.0403625083261193
236.36 "60" 0.0403741452206479
236.36 "70" 0.0407266644188939
236.36 "80" 0.0407267753118368
236.36 "90" 0.040711910900154
241.433 "0" 0.0458949185901791
241.433 "10" 0.0455363360685144
241.433 "20" 0.0456135126279001
241.433 "30" 0.0444815440714775
241.433 "40" 0.0443091651212795
241.433 "50" 0.0442655155082002
241.433 "60" 0.0441791490008669
241.433 "70" 0.0445573083285484
241.433 "80" 0.0446368125063465
241.433 "90" 0.0444417479597181
246.504 "0" 0.0465719060176339
246.504 "10" 0.0461032030560061
246.504 "20" 0.0460846683599973
246.504 "30" 0.0446779560842606
246.504 "40" 0.0446389117290876
246.504 "50" 0.044317659151622
246.504 "60" 0.0440836073001081
246.504 "70" 0.0442736795516019
246.504 "80" 0.044200093083796
246.504 "90" 0.044099777766757
251.571 "0" 0.0441880559130024
251.571 "10" 0.0437457091097707
251.571 "20" 0.0435637838446741
251.571 "30" 0.0423525218794377
251.571 "40" 0.0419581146318425
251.571 "50" 0.0417138052981985
251.571 "60" 0.0414706528793563
251.571 "70" 0.0416857049137051
251.571 "80" 0.0416851915815227
251.571 "90" 0.041613562039553
256.636 "0" 0.0428238658842905
256.636 "10" 0.0424774307887158
256.636 "20" 0.0423738135982236
256.636 "30" 0.0412003080932178
256.636 "40" 0.0409046384562477
256.636 "50" 0.0407042156064152
256.636 "60" 0.0404641321713626
256.636 "70" 0.0407917776400606
256.636 "80" 0.0407310779662462
256.636 "90" 0.0405927861482516
261.698 "0" 0.0424830505401535
261.698 "10" 0.042143048516862
261.698 "20" 0.0421412559612269
261.698 "30" 0.0409618828156682
261.698 "40" 0.040786871810602
261.698 "50" 0.0404967504719498
261.698 "60" 0.0406352184727213
261.698 "70" 0.0408293005132753
261.698 "80" 0.0407300023026438
261.698 "90" 0.0405434931474645
266.758 "0" 0.0429445906655924
266.758 "10" 0.0426001035748397
266.758 "20" 0.0426848971905698
266.758 "30" 0.0415164579105853
266.758 "40" 0.041412105638394
266.758 "50" 0.0413243921313678
266.758 "60" 0.0411651416269299
266.758 "70" 0.0414771218831881
266.758 "80" 0.0413624925008204
266.758 "90" 0.0412264065958703
271.814 "0" 0.0430978182726295
271.814 "10" 0.0426198895080855
271.814 "20" 0.0425872431178916
271.814 "30" 0.0416656050005062
271.814 "40" 0.0416326504475124
271.814 "50" 0.0415141062382853
271.814 "60" 0.0416695129309356
271.814 "70" 0.0418468325457447
271.814 "80" 0.041736823434435
271.814 "90" 0.0416628550403402
276.868 "0" 0.0436271500060303
276.868 "10" 0.0431798314189412
276.868 "20" 0.0433271992356082
276.868 "30" 0.0421960224681827
276.868 "40" 0.0422139894346546
276.868 "50" 0.0421631281830031
276.868 "60" 0.0422172112852854
276.868 "70" 0.0425719068899231
276.868 "80" 0.0425242091913487
276.868 "90" 0.0425008360537225
281.919 "0" 0.0447916798195121
281.919 "10" 0.0444342595867241
281.919 "20" 0.0444104547222247
281.919 "30" 0.0432179951336265
281.919 "40" 0.043302795603943
281.919 "50" 0.042974128254095
281.919 "60" 0.043142632642635
281.919 "70" 0.0434183787650902
281.919 "80" 0.043316973266274
281.919 "90" 0.0433049281290635
286.967 "0" 0.0447155303420755
286.967 "10" 0.0441859461244895
286.967 "20" 0.0441084318170342
286.967 "30" 0.0427705538638638
286.967 "40" 0.0426829148054986
286.967 "50" 0.0425081637809642
286.967 "60" 0.0424805064373764
286.967 "70" 0.0425387984723807
286.967 "80" 0.0422907901896407
286.967 "90" 0.0422595057373685
292.012 "0" 0.0448891882967176
292.012 "10" 0.0441839675311649
292.012 "20" 0.0441698431410896
292.012 "30" 0.0429806201876961
292.012 "40" 0.0427996108452748
292.012 "50" 0.0424560201375425
292.012 "60" 0.0424827283373941
292.012 "70" 0.0427153766992734
292.012 "80" 0.0426145649339453
292.012 "90" 0.0424761895533289
297.055 "0" 0.0452142165540689
297.055 "10" 0.0445984828326641
297.055 "20" 0.0445956954374082
297.055 "30" 0.04335138724926
297.055 "40" 0.0432910189393785
297.055 "50" 0.042918656293008
297.055 "60" 0.0429126659908086
297.055 "70" 0.043139164443816
297.055 "80" 0.042758703856659
297.055 "90" 0.0426620652437973
302.094 "0" 0.0444239335626231
302.094 "10" 0.0439168574323468
302.094 "20" 0.0437943279956362
302.094 "30" 0.042810466465392
302.094 "40" 0.0426379493589793
302.094 "50" 0.0422729626659554
302.094 "60" 0.0420583454340237
302.094 "70" 0.0422673094485331
302.094 "80" 0.0419842260629735
302.094 "90" 0.041972990170293
307.131 "0" 0.0440255417843267
307.131 "10" 0.0436804155300596
307.131 "20" 0.0436654648894216
307.131 "30" 0.0425520848870783
307.131 "40" 0.0425019824135519
307.131 "50" 0.0421398299593466
307.131 "60" 0.0420416811838913
307.131 "70" 0.0422849672712224
307.131 "80" 0.0422520662999564
307.131 "90" 0.0423683611141069
312.165 "0" 0.0431516800981335
312.165 "10" 0.0427554231508191
312.165 "20" 0.042732214112383
312.165 "30" 0.0416624540056488
312.165 "40" 0.0414709889612168
312.165 "50" 0.0413621130649069
312.165 "60" 0.0413184527281475
312.165 "70" 0.0415466495600271
312.165 "80" 0.0415905331845167
312.165 "90" 0.0416895554157666
317.196 "0" 0.043381985834771
317.196 "10" 0.0429414109233295
317.196 "20" 0.0430090684421409
317.196 "30" 0.0419061309412942
317.196 "40" 0.0417279343698985
317.196 "50" 0.041651676701781
317.196 "60" 0.0417806079318179
317.196 "70" 0.0419119457669114
317.196 "80" 0.0419842260629735
317.196 "90" 0.041978124857875
322.225 "0" 0.0437822349173951
322.225 "10" 0.0434439736277725
322.225 "20" 0.043556736643553
322.225 "30" 0.0423903338177275
322.225 "40" 0.0424238281850779
322.225 "50" 0.0421342827632379
322.225 "60" 0.0419361409330531
322.225 "70" 0.0424262298527366
322.225 "80" 0.0424144915039099
322.225 "90" 0.0424310043026073
327.251 "0" 0.0425369123656574
327.251 "10" 0.0421351341435637
327.251 "20" 0.0421231345869155
327.251 "30" 0.0410490603400586
327.251 "40" 0.0409164151208123
327.251 "50" 0.0407397176615108
327.251 "60" 0.0405530081720684
327.251 "70" 0.0408072282349137
327.251 "80" 0.0407364562842579
327.251 "90" 0.0406646717743996
332.274 "0" 0.0413928128997805
332.274 "10" 0.0410805439015633
332.274 "20" 0.0410650476757316
332.274 "30" 0.0400785539239536
332.274 "40" 0.0398897040919552
332.274 "50" 0.0397900376877015
332.274 "60" 0.0396653591150188
332.274 "70" 0.0400931900299162
332.274 "80" 0.0400878311320462
332.274 "90" 0.039954031013051
337.294 "0" 0.0435407853547913
337.294 "10" 0.0430739766760763
337.294 "20" 0.0432265249338781
337.294 "30" 0.0422737470080006
337.294 "40" 0.0424109809146438
337.294 "50" 0.0421664565006684
337.294 "60" 0.0424282917869618
337.294 "70" 0.0426480562502706
337.294 "80" 0.0426156405975477
337.294 "90" 0.042725735369814
342.311 "0" 0.0456655415057054
342.311 "10" 0.0452880226062797
342.311 "20" 0.0453245773819346
342.311 "30" 0.0442882830535518
342.311 "40" 0.0442834705804113
342.311 "50" 0.0439948123380957
342.311 "60" 0.0439869546493405
342.311 "70" 0.0439613568127854
342.311 "80" 0.0439806577089185
342.311 "90" 0.0440186497029614
347.326 "0" 0.0453572289873036
347.326 "10" 0.0448151388017054
347.326 "20" 0.044792010325782
347.326 "30" 0.0436549330871976
347.326 "40" 0.0433841616500256
347.326 "50" 0.0432182048828778
347.326 "60" 0.0431193026924497
347.326 "70" 0.0432296607850986
