"var" "sd" "mean"
"W" 0 0 0
"S0" 0.00162081197194058 0.0402593091339205 0.991141284828945
"S1" 0.00354534148678848 0.0595427702310573 0.948826820912307
"S2" 0.0582136406332925 0.241275031102044 -0.129087990412395
"I" 1.88756665466667e-10 1.37388742430618e-05 0.0013579301
"polarisation" 0.000685333337102903 0.0261788719600922 0.989971473171078
