"sigma" "biasResponse1" "biasResponse2" "biasResponse3" "biasResponse4" "biasResponse5" "biasResponse6" "biasResponse7" "biasResponse8" "biasResponse9" "biasResponse10"
0 0.371809697666667 0.372068258 0.372764394166667 0.372369503 0.372206726666667 0.371953982333333 0.371981665666667 0.3719982655 0.372166950666667 0.371448891666667
0.216661562316537 0.372902513333333 0.373225635 0.37382906 0.373467206666667 0.373286585 0.373092068333333 0.37311879 0.373032713333333 0.373219005 0.372581835
0.433323124633075 0.3761531 0.376519841666667 0.377014831666667 0.376705955 0.376499371666667 0.376374238333333 0.376398875 0.376220053333333 0.376383613333333 0.375875721666667
0.649984686949612 0.381409456666667 0.381796835 0.382172733333333 0.381934296666667 0.381694843333333 0.381647015 0.381668535 0.381411235 0.38151279 0.381176516666667
0.86664624926615 0.388425806666667 0.388809878333333 0.389061595 0.388907765 0.388630075 0.388663856666667 0.388681368333333 0.38836354 0.388366718333333 0.38823637
1.08330781158269 0.396874073333333 0.397231043333333 0.3973593 0.397300286666667 0.396980785 0.397096661666667 0.397109468333333 0.396751875 0.396624905 0.396725171666667
1.29996937389922 0.406359221666667 0.406666563333333 0.40667785 0.406719435 0.406356495 0.406551118333333 0.406558745 0.406184015 0.405901205 0.40624599
1.51663093621576 0.416437735 0.416675248333333 0.416581528333333 0.416724785 0.416318815 0.416585143333333 0.416587351666667 0.41621892 0.415761873333333 0.416353638333333
1.7332924985323 0.426638361666667 0.426789105 0.426607246666667 0.426848496666667 0.426401913333333 0.426729566666667 0.426726376666667 0.42638737 0.425745836666667 0.426575506666667
1.94995406084884 0.436484128333333 0.436535218333333 0.436286213333333 0.436617193333333 0.436134321666667 0.436510043333333 0.43650172 0.436213908333333 0.435386255 0.436433618333333
2.16661562316537 0.445514651666667 0.445457865 0.445165848333333 0.445574105 0.445060955 0.445469248333333 0.445456298333333 0.445239041666667 0.444232346666667 0.445467031666667
2.38327718548191 0.453307678333333 0.453139841666667 0.452830951666667 0.453300416666667 0.452764415 0.453188256666667 0.453171411666667 0.453040776666667 0.45187049 0.45325334
2.59993874779845 0.459498821666667 0.459221943333333 0.458923115 0.459434851666667 0.458884503333333 0.459306138333333 0.4592863 0.459254308333333 0.457943523333333 0.459428478333333
2.81660031011499 0.46379858 0.46341978 0.463157475 0.463690575 0.463135046666667 0.463536825 0.463515048333333 0.463589105 0.462167485 0.4637037
3.03326187243152 0.46600591 0.465537061666667 0.465336033333333 0.465868585 0.465317296666667 0.465682498333333 0.465659921666667 0.465842465 0.464344866666667 0.465879098333333
3.24992343474806 0.466017595 0.465474788333333 0.465356928333333 0.46586705 0.46532921 0.46564283 0.465620623333333 0.465909033333333 0.464373853333333 0.465852946666667
3.4665849970646 0.463833086666667 0.463235873333333 0.463219175 0.463686041666667 0.46317023 0.46341967 0.463398995 0.463785693333333 0.462253091666667 0.463626478333333
3.68324655938114 0.459554533333333 0.458925001666667 0.459022736666667 0.459427531666667 0.458941313333333 0.459116973333333 0.459098918333333 0.459571725 0.458081741666667 0.4593038
3.89990812169767 0.453381996666667 0.45274375 0.452963838333333 0.453290651666667 0.452840196666667 0.452935931666667 0.452921458333333 0.45346418 0.452054858333333 0.453087031666667
4.11656968401421 0.445604093333333 0.444981146666667 0.445325785 0.445562355 0.445152158333333 0.44516556 0.445155465 0.445748633333333 0.444454251666667 0.445266868333333
4.33323124633075 0.436584516666667 0.436000153333333 0.43646572 0.436604008333333 0.436236685 0.436169196666667 0.436164071666667 0.436785858333333 0.435635313333333 0.436208961666667
4.54989280864729 0.426745 0.426220721666667 0.426797931666667 0.426834485 0.426510656666667 0.426367491666667 0.4263677 0.426994941666667 0.426010401666667 0.426336853333333
4.76655437096382 0.416545641666667 0.416100123333333 0.416774476666667 0.41671061 0.416428845 0.416218771666667 0.416224425 0.416833696666667 0.416029578333333 0.416112158333333
4.98321593328036 0.406463346666667 0.406111588333333 0.406864043333333 0.406705758333333 0.406462675 0.40619758 0.40620853 0.406777255 0.40615953 0.406012966666667
5.1998774955969 0.396969546666667 0.396722166666667 0.397530023333333 0.397287745 0.397078143333333 0.396772491666667 0.396788348333333 0.397295836666667 0.396861773333333 0.396511508333333
5.41653905791344 0.388508168333333 0.388370896666667 0.38920887 0.388896943333333 0.388714058333333 0.388384206666667 0.38840435 0.388832785 0.38857105 0.388052055
5.63320062022997 0.381474853333333 0.381448271666667 0.382289673333333 0.381925708333333 0.381761526666667 0.38142497 0.381448576666667 0.381783833333333 0.38167504 0.381030165
5.84986218254651 0.376198475 0.376277996666667 0.377095968333333 0.376699995 0.376545636666667 0.376220173333333 0.376246261666667 0.376478571666667 0.376496186666667 0.37577418
6.06652374486305 0.372925745 0.373101818333333 0.373870601666667 0.37346416 0.373310275 0.373013193333333 0.373040658333333 0.37316507 0.373276636666667 0.37252985
6.28318530717959 0.371809697666667 0.372068258 0.372764394166667 0.372369503 0.372206726666667 0.371953982333333 0.371981665666667 0.3719982655 0.372166950666667 0.371448891666667
