"X" "Y1" "Y2" "Y3" "Y4"
0 344 1.646 10 85.722964763062
20 20 1.64 46 85.9146341463415
40 46 1.617 82 85.899814471243
60 102 1.631 128 85.2851011649295
80 138 1.663 164 85.5081178592904
100 178 1.668 202 85.3117505995204
120 220 1.653 246 85.480943738657
140 262 1.634 278 85.5569155446756
160 302 1.631 328 85.5916615573268
180 342 1.624 10 85.6527093596059
