"P3" "transmittance"
0 0.585645950867138
10 0.631194804799318
20 0.59609897779454
30 0.600323926489647
40 0.599841043400121
50 0.601301908325612
60 0.604617216006523
70 0.588709118650814
80 0.603456513597341
90 0.610306677355433
100 0.607225064160066
110 0.588658362527572
120 0.603879437266996
130 0.60015563391517
140 0.613032605687574
150 0.614860162261682
160 0.59736811506973
170 0.593604451363072
180 0.608546017775976
225 0.591737503455849
270 0.586537936768842
315 0.600992242409248
360 0.60092137055903
