"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 736.644 0.00439804531319421 0 45
"Mit Mikroskop" 741.443 -0.00476338868361315 0 45
"Mit Mikroskop" 746.24 -0.00642445724412954 0 45
"Mit Mikroskop" 751.033 -0.00066301272984437 0 45
"Mit Mikroskop" 755.825 0.0175732956552455 0 45
"Mit Mikroskop" 760.613 0.0116299405386497 0 45
"Mit Mikroskop" 765.399 -0.0184209380307452 0 45
"Mit Mikroskop" 770.182 -0.0201705756929638 0 45
"Mit Mikroskop" 774.963 0.00460672240232052 0 45
"Mit Mikroskop" 779.741 0.0160203817255375 0 45
"Mit Mikroskop" 784.517 -0.0327012220817531 0 45
"Mit Mikroskop" 789.29 -0.0301492909718468 0 45
"Mit Mikroskop" 794.06 -0.0158417501362056 0 45
"Mit Mikroskop" 798.828 -0.0253577173821015 0 45
"Mit Mikroskop" 803.593 -0.056161786391405 0 45
"Mit Mikroskop" 808.356 -0.0415105100211831 0 45
"Mit Mikroskop" 813.116 -0.0424699636770048 0 45
"Mit Mikroskop" 817.873 -0.00696250650234087 0 45
"Mit Mikroskop" 822.628 0.00991104431536627 0 45
"Mit Mikroskop" 827.38 0.0167857736413495 0 45
"Mit Mikroskop" 832.13 0.0306032120726718 0 45
"Mit Mikroskop" 836.877 -0.00170947298198798 0 45
"Mit Mikroskop" 841.622 -0.0216815623965573 0 45
"Mit Mikroskop" 846.364 -0.00757292056755299 0 45
"Mit Mikroskop" 851.103 0.00212845874546153 0 45
"Mit Mikroskop" 855.84 -0.0291994616859019 0 45
"Mit Mikroskop" 860.575 -0.017597184450488 0 45
"Mit Mikroskop" 865.306 -0.0258283433133732 0 45
"Mit Mikroskop" 870.036 -0.0279756456683513 0 45
"Mit Mikroskop" 874.762 -0.0115140127133889 0 45
"Mit Mikroskop" 879.486 -0.011048621913765 0 45
"Mit Mikroskop" 884.208 -0.0170398646255557 0 45
"Mit Mikroskop" 888.927 -0.0142476543495887 0 45
"Mit Mikroskop" 893.644 0.0153432032301482 0 45
"Mit Mikroskop" 898.357 0.0486486486486488 0 45
"Mit Mikroskop" 903.069 0.0314560933690395 0 45
"Mit Mikroskop" 907.778 -0.0265910724267348 0 45
"Mit Mikroskop" 912.484 -0.0236372407139411 0 45
"Mit Mikroskop" 917.188 0.00215018864862659 0 45
"Mit Mikroskop" 921.889 -0.00363020329138453 0 45
"Mit Mikroskop" 926.588 -0.0215439856373429 0 45
"Mit Mikroskop" 931.284 -0.0329019771545671 0 45
"Mit Mikroskop" 935.977 -0.017159587873397 0 45
"Mit Mikroskop" 940.669 -0.00224134191309378 0 45
"Mit Mikroskop" 945.357 0.000549732463534403 0 45
"Mit Mikroskop" 950.043 -0.0131843575418994 0 45
"Mit Mikroskop" 954.727 -0.0315967997640378 0 45
"Mit Mikroskop" 959.408 -0.0110440288617287 0 45
"Mit Mikroskop" 964.086 0.00267057849996255 0 45
"Mit Mikroskop" 968.762 0.0107779886148009 0 45
"Mit Mikroskop" 973.436 0.00635205320778676 0 45
"Mit Mikroskop" 978.107 0.0288364438792683 0 45
"Mit Mikroskop" 982.775 0.0146678170836927 0 45
"Mit Mikroskop" 987.441 -0.0268264195019028 0 45
"Mit Mikroskop" 992.104 -0.0264918181474623 0 45
"Mit Mikroskop" 996.765 -0.0181723198626815 0 45
"Mit Mikroskop" 1001.42 0.0152168306252531 0 45
"Mit Mikroskop" 1006.08 0.0257979886313948 0 45
"Mit Mikroskop" 1010.73 0.00195545898967975 0 45
"Mit Mikroskop" 1015.38 -0.0245999349781456 0 45
"Mit Mikroskop" 1020.03 -0.0066193680514921 0 45
"Mit Mikroskop" 1024.68 0.0293816194055347 0 45
"Mit Mikroskop" 1029.32 -0.0148782687105501 0 45
"Mit Mikroskop" 1033.96 -0.02605593195906 0 45
"Mit Mikroskop" 1038.6 -0.00735532720389387 0 45
"Mit Mikroskop" 1043.24 0.00353382374152611 0 45
"Mit Mikroskop" 1047.87 0.014851841196778 0 45
"Mit Mikroskop" 1052.5 0.0117326253094616 0 45
"Mit Mikroskop" 1057.13 -0.0119043450859563 0 45
"Mit Mikroskop" 1061.76 -0.0276011411679786 0 45
"Mit Mikroskop" 1066.38 -0.00599470235605737 0 45
"Mit Mikroskop" 1071 -0.0129282712443906 0 45
"Mit Mikroskop" 1075.62 -0.0288127173373076 0 45
"Mit Mikroskop" 1080.24 -0.0443656340182886 0 45
"Mit Mikroskop" 1084.85 -0.0492156466707063 0 45
"Mit Mikroskop" 1089.46 -0.0374999999999999 0 45
"Mit Mikroskop" 1094.07 -0.0259540919556269 0 45
"Mit Mikroskop" 1098.68 -0.0176551432498151 0 45
"Mit Mikroskop" 1103.28 -0.019746319524964 0 45
"Mit Mikroskop" 1107.88 0.0022408384183128 0 45
"Mit Mikroskop" 1112.48 0.0045122402936324 0 45
"Mit Mikroskop" 1117.08 0.00410332301896954 0 45
"Mit Mikroskop" 1121.67 -0.00457369103693084 0 45
"Mit Mikroskop" 1126.26 -0.00559511698880977 0 45
"Mit Mikroskop" 1130.85 -0.0209771189610035 0 45
"Mit Mikroskop" 1135.44 0.00195319312197006 0 45
"Mit Mikroskop" 1140.02 0.0111063495464607 0 45
"Mit Mikroskop" 1144.6 -0.016748179163295 0 45
"Mit Mikroskop" 1149.18 -0.0132402750692806 0 45
"Mit Mikroskop" 1153.76 0.0697854048426638 0 45
"Mit Mikroskop" 1158.33 -0.0162854467629748 0 45
"Mit Mikroskop" 1162.91 -0.00393092326300226 0 45
"Mit Mikroskop" 1167.48 0.0127325142425698 0 45
"Mit Mikroskop" 1172.04 -0.0114567421191502 0 45
"Mit Mikroskop" 1176.61 -0.0118178059536935 0 45
