"W" "S0" "S1" "S2" "I" "polarisation"
0 0.990965743748017 0.936702558989953 -0.214832489463102 NA 0.969784004589841
10 1.00433769007624 0.983759440263086 0.0480061608878055 NA 0.980676192994747
22 1.02935567223582 0.421718230564272 0.33676046370163 NA 0.524288575972491
30 1.04179909010085 -0.0384364116246544 0.423983232889332 NA 0.408641078691168
40 1.05128655976001 -0.618353733193303 0.418954358194391 NA 0.71047839719306
45 1.04895242884243 -0.941973340042014 0.274584170357056 NA 0.935388449364815
50 1.04898169007276 -0.936472372260192 0.276844940752911 NA 0.930937646493763
60 1.03388585709927 -0.807158527785479 0.0370906213492233 NA 0.781527543514187
68 1.01290630574364 -0.268372740662654 -0.183984056592062 NA 0.321236962718153
80 0.995177549295446 0.431431100142284 -0.294452929107458 NA 0.524867554479315
90 0.990479473333394 0.91109123643822 -0.23185380632455 NA 0.949166034939277
112 1.02596850104844 0.524062944504239 0.305863245474053 NA 0.591431565846524
135 1.05303041572629 -0.811962234630781 0.390857822145849 NA 0.855758340023398
158 1.01464430668073 -0.30025055793122 -0.161686192350335 NA 0.33609544952428
180 0.991478275184504 0.988624973133994 -0.189107775653197 NA 1.01520035688469
225 1.05181816028261 -0.89024618922324 0.343916446807592 NA 0.907350016246063
270 0.99375272142908 0.92070031187976 -0.168111266137138 NA 0.941805976459763
315 1.05225734967895 -0.820256615196512 0.373921912321082 NA 0.856695986115153
